"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","RT @crimewavepress: Short sharp interview with Kalyan Lahiri by @PaulDBrazill. http://t.co/tU15pcdif0 … Thanks, Paul. #India #Kolkata #auth…",FALSE,0,NA,2015-10-17 15:11:19,FALSE,NA,"655400705453367296",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","PaulDBrazill",1,TRUE,FALSE,NA,NA
"2","RT @Randomically_Me: We Indians are living in some highly dramatic times..! #India",FALSE,0,NA,2015-10-17 15:11:12,FALSE,NA,"655400676097310721",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Glass_n_Tweet",1,TRUE,FALSE,NA,NA
"3","RT @crimewavepress: Short, Sharp Interview: Kalyan Lahiri http://t.co/iTSNkwdA6D  via @PaulDBrazill #India #fiction #Kolkata #crimefiction",FALSE,0,NA,2015-10-17 15:11:09,FALSE,NA,"655400661249609728",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","PaulDBrazill",1,TRUE,FALSE,NA,NA
"4","Heading to #India? Then check out this month's blog highlights covering top 10 Things to see and do in New Delhi. http://t.co/fNZ5AKGAcL",FALSE,0,NA,2015-10-17 15:11:06,FALSE,NA,"655400652034543617",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","ItsAllBee",0,FALSE,FALSE,NA,NA
"5","#India is terrible at punishing attacks on journalists. Here’s how terrible. http://t.co/74vmQjTQh4 http://t.co/NpyF3x9RSp",FALSE,0,NA,2015-10-17 15:10:58,FALSE,NA,"655400618157191168",NA,"<a href=""http://donnamartinezy.weebly.com"" rel=""nofollow"">DonnaMartinezy1538</a>","DonnaMartinezy",0,FALSE,FALSE,NA,NA
"6","When house is on fire, no one focusses on garden #india has to achieve growth for benefit of 300 mill below poverty https://t.co/VdB0d6nSDB",FALSE,0,NA,2015-10-17 15:10:57,FALSE,NA,"655400611454672896",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","SanjayVashist15",0,FALSE,FALSE,NA,NA
"7","RT @IBTimesUK: Two girls, aged 2 and 5, gang-raped in #Delhi on the same day #India http://t.co/JOS2cpZ98w http://t.co/uMKmPOS8xz",FALSE,0,NA,2015-10-17 15:10:47,FALSE,NA,"655400569201405952",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Debsstar28",8,TRUE,FALSE,NA,NA
"8","RT @sbajpai2806: #India ’s longest rail-cum-road bridge on #Brahmaputra to be ready by June 2017 | http://t.co/jiwn5a9xQr 
@sureshpprabhu @…",FALSE,0,NA,2015-10-17 15:10:41,FALSE,NA,"655400547437047808",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","akccrown",14,TRUE,FALSE,NA,NA
"9","Rt mihirshah1975: http://t.co/W3UWzrFm4p Roadblocks faced by startups in India http://t.co/hG6jhaKqeS #startup #business #strategy #India",FALSE,0,NA,2015-10-17 15:10:39,FALSE,NA,"655400537429581824",NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","Rocking_Virat",0,FALSE,FALSE,NA,NA
"10","""Because they suspected he had killed a cow and eaten its meat."" #India - http://t.co/jZRwomlbzN",FALSE,0,NA,2015-10-17 15:10:35,FALSE,NA,"655400519117250561",NA,"<a href=""http://www.arnongrunberg.com"" rel=""nofollow"">Arnongrunberg.com</a>","arnonyy",0,FALSE,FALSE,NA,NA
