"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","October 10, 2015 at 09:05AM #VoteHighlander #GoTech #NJIT",FALSE,0,NA,2015-10-10 13:06:00,FALSE,NA,"652832451941810177",NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","njit7",0,FALSE,FALSE,NA,NA
"2","October 10, 2015 at 09:02AM #VoteHighlander #GoTech #NJIT",FALSE,0,NA,2015-10-10 13:05:59,FALSE,NA,"652832450461216769",NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","njit7",0,FALSE,FALSE,NA,NA
"3","October 10, 2015 at 09:01AM #VoteHighlander #GoTech #NJIT",FALSE,0,NA,2015-10-10 13:05:59,FALSE,NA,"652832449291010048",NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","njit7",0,FALSE,FALSE,NA,NA
"4","October 10, 2015 at 08:50AM #NJIT #GoTech #VoteHighlander",FALSE,0,NA,2015-10-10 13:05:44,FALSE,NA,"652832385508188160",NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","njit7",0,FALSE,FALSE,NA,NA
"5","Check out this week's schedule in Athletics! #NJIT http://t.co/wxTIDNb4XL",FALSE,0,NA,2015-10-10 13:03:09,FALSE,NA,"652831735240114176",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","NJIT",0,FALSE,FALSE,NA,NA
"6","October 10, 2015 at 08:50AM #VoteHighlander #GoTech #NJIT",FALSE,0,NA,2015-10-10 12:50:59,FALSE,NA,"652828675482718208",NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","njit7",0,FALSE,FALSE,NA,NA
"7","October 10, 2015 at 08:47AM #VoteHighlander #GoTech #NJIT",FALSE,0,NA,2015-10-10 12:50:59,FALSE,NA,"652828674153181185",NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","njit7",0,FALSE,FALSE,NA,NA
"8","October 10, 2015 at 08:50AM #GoTech #VoteHighlander #NJIT",FALSE,0,NA,2015-10-10 12:50:47,FALSE,NA,"652828624974938112",NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","njit7",0,FALSE,FALSE,NA,NA
"9","October 10, 2015 at 08:37AM #NJIT #GoTech #VoteHighlander",FALSE,0,NA,2015-10-10 12:50:43,FALSE,NA,"652828608717787136",NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","njit7",0,FALSE,FALSE,NA,NA
"10","October 10, 2015 at 08:37AM #GoTech #VoteHighlander #NJIT",FALSE,0,NA,2015-10-10 12:37:49,FALSE,NA,"652825360606887936",NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","njit7",0,FALSE,FALSE,NA,NA
"11","October 10, 2015 at 08:22AM #GoTech #VoteHighlander #NJIT",FALSE,0,NA,2015-10-10 12:37:48,FALSE,NA,"652825357108793344",NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","njit7",0,FALSE,FALSE,NA,NA
"12","October 10, 2015 at 08:37AM #VoteHighlander #GoTech #NJIT",FALSE,0,NA,2015-10-10 12:37:46,FALSE,NA,"652825346316894209",NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","njit7",0,FALSE,FALSE,NA,NA
"13","October 10, 2015 at 08:34AM #VoteHighlander #GoTech #NJIT",FALSE,0,NA,2015-10-10 12:37:45,FALSE,NA,"652825341732495360",NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","njit7",0,FALSE,FALSE,NA,NA
"14","October 10, 2015 at 08:26AM #VoteHighlander #GoTech #NJIT",FALSE,0,NA,2015-10-10 12:37:44,FALSE,NA,"652825340205772800",NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","njit7",0,FALSE,FALSE,NA,NA
"15","October 10, 2015 at 08:22AM #VoteHighlander #GoTech #NJIT",FALSE,0,NA,2015-10-10 12:37:43,FALSE,NA,"652825336871301120",NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","njit7",0,FALSE,FALSE,NA,NA
"16","October 10, 2015 at 08:22AM #NJIT #GoTech #VoteHighlander",FALSE,0,NA,2015-10-10 12:37:34,FALSE,NA,"652825297746853888",NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","njit7",0,FALSE,FALSE,NA,NA
"17","October 10, 2015 at 08:21AM #NJIT #GoTech #VoteHighlander",FALSE,0,NA,2015-10-10 12:37:33,FALSE,NA,"652825295272189952",NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","njit7",0,FALSE,FALSE,NA,NA
"18","October 10, 2015 at 08:21AM #VoteHighlander #GoTech #NJIT",FALSE,0,NA,2015-10-10 12:22:11,FALSE,NA,"652821424386781184",NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","njit7",0,FALSE,FALSE,NA,NA
"19","October 10, 2015 at 08:16AM #VoteHighlander #GoTech #NJIT",FALSE,0,NA,2015-10-10 12:22:10,FALSE,NA,"652821420125351936",NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","njit7",0,FALSE,FALSE,NA,NA
"20","October 10, 2015 at 08:04AM #VoteHighlander #GoTech #NJIT",FALSE,0,NA,2015-10-10 12:22:08,FALSE,NA,"652821415109001216",NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","njit7",0,FALSE,FALSE,NA,NA
"21","October 10, 2015 at 08:21AM #GoTech #VoteHighlander #NJIT",FALSE,0,NA,2015-10-10 12:22:08,FALSE,NA,"652821414056206336",NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","njit7",0,FALSE,FALSE,NA,NA
"22","October 10, 2015 at 08:04AM #NJIT #GoTech #VoteHighlander",FALSE,0,NA,2015-10-10 12:21:58,FALSE,NA,"652821371559538688",NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","njit7",0,FALSE,FALSE,NA,NA
"23","Highlander Fall Fest is this TODAY starting @ noon! For more info: http://t.co/6tyTnKvZd1 #NJIT http://t.co/Uj97r0PSBP",FALSE,0,NA,2015-10-10 12:10:48,FALSE,NA,"652818562499911680",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","NJIT",0,FALSE,FALSE,NA,NA
"24","October 10, 2015 at 08:04AM #GoTech #VoteHighlander #NJIT",FALSE,0,NA,2015-10-10 12:04:38,FALSE,NA,"652817009386913792",NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","njit7",0,FALSE,FALSE,NA,NA
"25","October 10, 2015 at 07:43AM #GoTech #VoteHighlander #NJIT",FALSE,0,NA,2015-10-10 12:04:37,FALSE,NA,"652817004164968448",NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","njit7",0,FALSE,FALSE,NA,NA
"26","October 10, 2015 at 08:00AM #VoteHighlander #GoTech #NJIT",FALSE,0,NA,2015-10-10 12:04:32,FALSE,NA,"652816986217578497",NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","njit7",0,FALSE,FALSE,NA,NA
"27","October 10, 2015 at 07:43AM #VoteHighlander #GoTech #NJIT",FALSE,0,NA,2015-10-10 11:43:50,FALSE,NA,"652811774316683264",NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","njit7",0,FALSE,FALSE,NA,NA
"28","October 10, 2015 at 07:38AM #VoteHighlander #GoTech #NJIT",FALSE,0,NA,2015-10-10 11:43:49,FALSE,NA,"652811770634088448",NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","njit7",0,FALSE,FALSE,NA,NA
"29","October 10, 2015 at 07:28AM #VoteHighlander #GoTech #NJIT",FALSE,0,NA,2015-10-10 11:43:48,FALSE,NA,"652811765982621696",NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","njit7",0,FALSE,FALSE,NA,NA
"30","October 10, 2015 at 07:43AM #NJIT #GoTech #VoteHighlander",FALSE,0,NA,2015-10-10 11:43:38,FALSE,NA,"652811723011977217",NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","njit7",0,FALSE,FALSE,NA,NA
"31","October 10, 2015 at 07:28AM #GoTech #VoteHighlander #NJIT",FALSE,0,NA,2015-10-10 11:43:30,FALSE,NA,"652811692011835392",NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","njit7",0,FALSE,FALSE,NA,NA
"32","October 10, 2015 at 07:28AM #NJIT #GoTech #VoteHighlander",FALSE,0,NA,2015-10-10 11:28:39,FALSE,NA,"652807952022274048",NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","njit7",0,FALSE,FALSE,NA,NA
"33","October 10, 2015 at 07:13AM #NJIT #GoTech #VoteHighlander",FALSE,0,NA,2015-10-10 11:28:38,FALSE,NA,"652807949602160640",NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","njit7",0,FALSE,FALSE,NA,NA
"34","October 10, 2015 at 07:24AM #VoteHighlander #GoTech #NJIT",FALSE,0,NA,2015-10-10 11:28:06,FALSE,NA,"652807814889512960",NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","njit7",0,FALSE,FALSE,NA,NA
"35","October 10, 2015 at 07:23AM #VoteHighlander #GoTech #NJIT",FALSE,0,NA,2015-10-10 11:28:05,FALSE,NA,"652807812217720832",NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","njit7",0,FALSE,FALSE,NA,NA
"36","October 10, 2015 at 07:19AM #VoteHighlander #GoTech #NJIT",FALSE,0,NA,2015-10-10 11:28:05,FALSE,NA,"652807810925920256",NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","njit7",0,FALSE,FALSE,NA,NA
"37","October 10, 2015 at 07:13AM #VoteHighlander #GoTech #NJIT",FALSE,0,NA,2015-10-10 11:28:04,FALSE,NA,"652807805221629952",NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","njit7",0,FALSE,FALSE,NA,NA
"38","October 10, 2015 at 07:13AM #GoTech #VoteHighlander #NJIT",FALSE,0,NA,2015-10-10 11:28:01,FALSE,NA,"652807792798113792",NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","njit7",0,FALSE,FALSE,NA,NA
"39","Colleges love telling you about each and every required document. One at a time! #njit",FALSE,0,NA,2015-10-10 11:20:51,FALSE,NA,"652805989759078400",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","yashi_2138",0,FALSE,FALSE,NA,NA
"40","October 10, 2015 at 07:13AM #NJIT #GoTech #VoteHighlander",FALSE,0,NA,2015-10-10 11:13:53,FALSE,NA,"652804238108717056",NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","njit7",0,FALSE,FALSE,NA,NA
"41","October 10, 2015 at 06:58AM #NJIT #GoTech #VoteHighlander",FALSE,0,NA,2015-10-10 11:13:52,FALSE,NA,"652804234740690944",NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","njit7",0,FALSE,FALSE,NA,NA
"42","October 10, 2015 at 07:13AM #VoteHighlander #GoTech #NJIT",FALSE,0,NA,2015-10-10 11:13:35,FALSE,NA,"652804161076097025",NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","njit7",0,FALSE,FALSE,NA,NA
"43","October 10, 2015 at 07:09AM #VoteHighlander #GoTech #NJIT",FALSE,0,NA,2015-10-10 11:13:34,FALSE,NA,"652804158832160768",NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","njit7",0,FALSE,FALSE,NA,NA
"44","October 10, 2015 at 07:08AM #VoteHighlander #GoTech #NJIT",FALSE,0,NA,2015-10-10 11:13:34,FALSE,NA,"652804158085550080",NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","njit7",0,FALSE,FALSE,NA,NA
"45","October 10, 2015 at 06:58AM #VoteHighlander #GoTech #NJIT",FALSE,0,NA,2015-10-10 11:13:34,FALSE,NA,"652804156500127744",NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","njit7",0,FALSE,FALSE,NA,NA
"46","October 10, 2015 at 06:57AM #VoteHighlander #GoTech #NJIT",FALSE,0,NA,2015-10-10 11:13:33,FALSE,NA,"652804153610215424",NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","njit7",0,FALSE,FALSE,NA,NA
"47","October 10, 2015 at 06:58AM #GoTech #VoteHighlander #NJIT",FALSE,0,NA,2015-10-10 11:13:16,FALSE,NA,"652804082776866816",NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","njit7",0,FALSE,FALSE,NA,NA
"48","#NJIT https://t.co/AQzYkCb9bL",FALSE,0,NA,2015-10-10 11:07:59,FALSE,NA,"652802751597019136",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Hilltoptweet",0,FALSE,FALSE,NA,NA
"49","October 10, 2015 at 06:57AM #NJIT #GoTech #VoteHighlander",FALSE,0,NA,2015-10-10 10:58:12,FALSE,NA,"652800292254318592",NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","njit7",0,FALSE,FALSE,NA,NA
"50","October 10, 2015 at 06:43AM #NJIT #GoTech #VoteHighlander",FALSE,0,NA,2015-10-10 10:58:12,FALSE,NA,"652800290148720640",NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","njit7",0,FALSE,FALSE,NA,NA
"51","October 10, 2015 at 06:42AM #NJIT #GoTech #VoteHighlander",FALSE,0,NA,2015-10-10 10:58:11,FALSE,NA,"652800288970133504",NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","njit7",0,FALSE,FALSE,NA,NA
