"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","GLOBAL #STATISTICS UPDATE
(http://t.co/OsqHqoJixA)
Top Percentile of all Genres in the #World.
Among 4 Million Industry Professionals. #USA",FALSE,0,NA,2015-10-12 22:10:34,FALSE,NA,"653694271405494272",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","tdbeadles",0,FALSE,FALSE,NA,NA
"2","RT @rugbyworldcup: Huge thank you LEEDS. Perfect hosts for #ITA #CAN #SCO &amp; #USA. 1 weekend, 2 games, 96 points, 66,641 fans #RWC2015 http:…",FALSE,0,NA,2015-10-12 22:10:27,FALSE,NA,"653694246185209856",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","willowhaye",96,TRUE,FALSE,NA,NA
"3","DEPOSIT NOW &amp; GR88 WILL DOUBLE YOUR MONEY INSTANTLY!!

THAT'S UPTO £100 #FREE!

&gt; http://t.co/hfhGjXJoUe #BINGO #USA http://t.co/J6t9kA9xMA",FALSE,0,NA,2015-10-12 22:10:27,FALSE,NA,"653694242083184640",NA,"<a href=""https://www.socialoomph.com"" rel=""nofollow"">SocialOomph</a>","BlingBingo",0,FALSE,FALSE,NA,NA
"4","#ultimate http://t.co/tt9w7PDHy0 For Sale: DJI Phantom 2 VERSION 3 RTF UAV… http://t.co/3wL2FsIJjc #usa #drone… http://t.co/pfJgesotEp",FALSE,0,NA,2015-10-12 22:10:25,FALSE,NA,"653694236324442113",NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","gobeaman",0,FALSE,FALSE,NA,NA
"5","RT @OneLadyLibra: What next for these innocent souls? Can #Saudi &amp; it's Coalition AND their enablers answer these #YemenChildren? #USA http…",FALSE,0,NA,2015-10-12 22:10:24,FALSE,NA,"653694231823929344",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Cedou92",10,TRUE,FALSE,NA,NA
"6","RT @OraliaSotoRoman: #Autumn #Arboretum #Dallas #usa http://t.co/EqpXogBpx9",FALSE,0,NA,2015-10-12 22:10:22,FALSE,NA,"653694221929549824",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","edamachado1",3,TRUE,FALSE,NA,NA
"7","PIC: Former VP Namadi Sambo hospitalized in #USA http://t.co/pOvaWDsh1u #Nigeria #UK #DXB #Dubai #MyDubai #UAE #HaveYouDoneitNG #NIGHTCAFE",FALSE,0,NA,2015-10-12 22:10:20,FALSE,NA,"653694216388767746",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","toyeenb",0,FALSE,FALSE,NA,NA
"8","15:10 #USA #Join #New #Auction #Site, No #Selling Fees! Member Fee Only! #Free #Lifetime #Member #Upgrade #Special! http://t.co/VClmEXsvKD",FALSE,0,NA,2015-10-12 22:10:20,FALSE,NA,"653694215642304512",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","BidMyZone_BMZ",0,FALSE,FALSE,NA,NA
"9","15:10 #USA What was 1st, chicken (users) or the egg (listings)? #USERS! #Join &amp; get #Lifetime #Member #Upgrade #Free! http://t.co/uvtNFAiJRx",FALSE,0,NA,2015-10-12 22:10:19,FALSE,NA,"653694211016028160",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","BidMyZone_BMZ",0,FALSE,FALSE,NA,NA
"10","@Dawg_Dynasty #USA <ed><U+00A0><U+00BC><ed><U+00B7><U+00BA><ed><U+00A0><U+00BC><ed><U+00B7><U+00B8>",FALSE,0,"Dawg_Dynasty",2015-10-12 22:10:16,FALSE,NA,"653694199615721472","2557451184","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","HartwellDawg",0,FALSE,FALSE,NA,NA
"11","This #IT #job might be a great fit for you: Developer - http://t.co/nnnoRsx3y0 #USA #Veterans #Hiring #CareerArc",FALSE,0,NA,2015-10-12 22:10:12,FALSE,NA,"653694180296753152",NA,"<a href=""http://www.tweetmyjobs.com"" rel=""nofollow"">TweetMyJOBS</a>","tmj_usa_vets",0,FALSE,FALSE,NA,NA
"12","---&gt;&gt; http://t.co/tetzqItyma

THE BEST OF 80's MUSIC
#NOWPLAYING
 Stevie Wonder
 Part time lover

#Webradio #Hits #France  #USA #RT",FALSE,0,NA,2015-10-12 22:10:11,FALSE,NA,"653694175200854016",NA,"<a href=""http://share.radionomy.com"" rel=""nofollow"">Share.Radionomy.com</a>","STAART80s",0,FALSE,FALSE,NA,NA
"13","RT @earth___planet: Genesee River, #NewYork #USA http://t.co/tC6DdGZkoU",FALSE,0,NA,2015-10-12 22:10:06,FALSE,NA,"653694155055493124",NA,"<a href=""http://www.twitter.com"" rel=""nofollow"">Twitter for BlackBerry</a>","beosri",47,TRUE,FALSE,NA,NA
"14","Want to work at Oracle? We're #hiring in #USA! Click for details: http://t.co/mNQDaP5UMq #IT #Job #Jobs #CareerArc",FALSE,0,NA,2015-10-12 22:10:05,FALSE,NA,"653694150685003776",NA,"<a href=""http://www.tweetmyjobs.com"" rel=""nofollow"">TweetMyJOBS</a>","tmj_usa_it",0,FALSE,FALSE,NA,NA
"15","RT @geovannyvicentr: Thanks @CR_School for recognizing the progress of your students #CRSchoolDC #CarlosRosarioSchoolDC #Latinos #DC #USA h…",FALSE,0,NA,2015-10-12 22:10:02,FALSE,NA,"653694141021450240",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","CpdlRd",1,TRUE,FALSE,NA,NA
"16","#cuba #bolivia #usa Cinco décadas al servicio de la ciencia de la atmósfera. Aniversario ... http://t.co/0rWmXk1lBA #chile#europa#espana",FALSE,0,NA,2015-10-12 22:10:01,FALSE,NA,"653694135472271360",NA,"<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>","CubaconAmalia",0,FALSE,FALSE,NA,NA
"17","RT @OneLadyLibra: What next for these innocent souls? Can #Saudi &amp; it's Coalition AND their enablers answer these #YemenChildren? #USA http…",FALSE,0,NA,2015-10-12 22:09:59,FALSE,NA,"653694125208936448",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","CRamusevic",10,TRUE,FALSE,NA,NA
"18","Obama yells ""FORE!""

#USA dropping tons of ammo into the middle of nowhere
hoping the “right” people find it
#Syria
http://t.co/yo1DEBIEEN",FALSE,0,NA,2015-10-12 22:09:56,FALSE,NA,"653694114257629185",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","serr8d",0,FALSE,FALSE,NA,NA
"19","<ed><U+00A0><U+00BD><ed><U+00B9><U+008A> #weloveredhair #weloveredheads #orlando #usa @ Orlando - Florida EUA https://t.co/6N4vyT2wmm",FALSE,0,NA,2015-10-12 22:09:54,FALSE,NA,"653694107387363330",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","thamysorel",0,FALSE,FALSE,NA,NA
"20","#USA Res/Cits : Sign #US #Petition to #Arrest #Netanyahu https://t.co/wwOiq947CZ #UN #gaza #palestine #israel http://t.co/xq2PAmRbaf",FALSE,0,NA,2015-10-12 22:09:49,FALSE,NA,"653694085115588608",NA,"<a href=""https://twitter.com/Col_Connaughton"" rel=""nofollow"">Colin's Autotweeterpro5.3</a>","Col_Connaughton",0,FALSE,FALSE,NA,NA
"21","We are Galactic History, Fans!
We are on a Mission too Mars.
@NASA #NASA #NASASocial 
#USA #MARS (03/04/2016 Launch) http://t.co/s4Wym8t1pz",FALSE,0,NA,2015-10-12 22:09:46,FALSE,NA,"653694071613972482",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","tdbeadles",0,FALSE,FALSE,NA,NA
"22","@FescatAPP @RamonSans16 @fredforcat 
Vive la #LIBERTÉ
Vive la #Catalogne
Vive le peuple #Catalan
https://t.co/HSIA6ZHe0f
#Québec #ONU #USA",FALSE,0,"FescatAPP",2015-10-12 22:09:46,FALSE,"653663449281626112","653694070871732225","117385091","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","QuebecMonPays",0,FALSE,FALSE,NA,NA
"23","We're #hiring! Read about our latest #job opening here: OTR Truck Driving Job - Home Bi-Weekly -... - http://t.co/cxuBxSiHFk #USA #Veterans",FALSE,0,NA,2015-10-12 22:09:40,FALSE,NA,"653694044887904256",NA,"<a href=""http://www.tweetmyjobs.com"" rel=""nofollow"">TweetMyJOBS</a>","tmj_usa_transp",0,FALSE,FALSE,NA,NA
"24","Philips North America: Sr. Consulting Manager (#USA) http://t.co/EHr8LjLpz3 #BusinessMgmt #Job #Jobs #Hiring",FALSE,0,NA,2015-10-12 22:09:36,FALSE,NA,"653694031474528256",NA,"<a href=""http://tweetmyjobs.com"" rel=""nofollow"">SafeTweet by TweetMyJOBS</a>","JoinPhilips",0,FALSE,FALSE,NA,NA
"25","Can you recommend anyone for this #BusinessMgmt #job? http://t.co/2wwa6WIAbw #USA #Hiring #CareerArc",FALSE,0,NA,2015-10-12 22:09:30,FALSE,NA,"653694004815466496",NA,"<a href=""http://www.tweetmyjobs.com"" rel=""nofollow"">TweetMyJOBS</a>","tmj_usa_mgmt",0,FALSE,FALSE,NA,NA
"26","Thanks @CR_School for recognizing the progress of your students #CRSchoolDC #CarlosRosarioSchoolDC #Latinos #DC #USA http://t.co/XS3iHVrsS5",FALSE,1,NA,2015-10-12 22:09:29,FALSE,NA,"653694002169016320",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","geovannyvicentr",1,FALSE,FALSE,NA,NA
"27","#Urgent prayers:
For #ISRAEL No Stabbing
For #CANADA Federal Election in a week
For #USA upcoming 2016 Election #Pray http://t.co/kbsRSbwOzh",FALSE,0,NA,2015-10-12 22:09:28,FALSE,NA,"653693995818725376",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","gotJesus821",0,FALSE,FALSE,NA,NA
"28","#MLS #Soccer Russia and Slovakia qualify for 2016 European Championship (The Associated Press)  #USA  http://t.co/CytGsHW45L",FALSE,0,NA,2015-10-12 22:09:27,FALSE,NA,"653693994224910336",NA,"<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>","_iNewsNow",0,FALSE,FALSE,NA,NA
"29","#Americans are #stressed #USA  https://t.co/gattLEHQ6n",FALSE,0,NA,2015-10-12 22:09:27,FALSE,NA,"653693993511817216",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","felixalonzo_1",0,FALSE,FALSE,NA,NA
"30","#MLS #Soccer Russia and Slovakia qualify for 2016 European Championship (The Associated Press)  #USA  http://t.co/fsNaV3lUXf",FALSE,0,NA,2015-10-12 22:09:27,FALSE,NA,"653693993461481472",NA,"<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>","displaydeportes",0,FALSE,FALSE,NA,NA
"31","RT @BhattNaturally1: @TheBoodge66 @popstherock33 @marylene58 @stevej132 @ThePatriot143 @redlinepatriot @MikeWalters19  #USA Cair 2 - whoa h…",FALSE,0,NA,2015-10-12 22:09:25,FALSE,NA,"653693981998600192",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","llmk100_larry",18,TRUE,FALSE,NA,NA
"32","#MLS #Soccer Perfect 10 for England in Euro 2016 qualifying (The Associated Press)  #USA  http://t.co/fsNaV3lUXf",FALSE,0,NA,2015-10-12 22:09:22,FALSE,NA,"653693969570762755",NA,"<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>","displaydeportes",0,FALSE,FALSE,NA,NA
"33","#MLS #Soccer Perfect 10 for England in Euro 2016 qualifying (The Associated Press)  #USA  http://t.co/CytGsHW45L",FALSE,0,NA,2015-10-12 22:09:21,FALSE,NA,"653693969197469697",NA,"<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>","_iNewsNow",0,FALSE,FALSE,NA,NA
