"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","Hey! #USA don't be Grumpy, be a TRUMPY! and YOU CAN #MakeAmericaGreatAgain! #Trump2016 #GOP #POTUS #TBT #ThrowbackThursday @realDonaldTrump",FALSE,0,NA,2015-10-15 19:34:49,FALSE,NA,"654742241492123648",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M2)</a>","CaptainSamUSA",0,FALSE,FALSE,NA,NA
"2","RT @trackingpaws: #MISSING Calico #CAT Hopkinsville 42240 #KY #USA | http://t.co/EAv5lJ0x5f PHOTO: http://t.co/eF86IiuMeJ",FALSE,0,NA,2015-10-15 19:34:47,FALSE,NA,"654742233787203585",NA,"<a href=""https://roundteam.co"" rel=""nofollow"">RoundTeam</a>","PawsRadar",1,TRUE,FALSE,NA,NA
"3","#usa Die Killer-Nation ‚#US-Drohnenpilot bestätigt zentrale Rolle von Ramstein‘ und unsere Regierung weiß von nichts! http://t.co/1hGqY5dblZ",FALSE,0,NA,2015-10-15 19:34:47,FALSE,NA,"654742232063340544",NA,"<a href=""http://www.apple.com/"" rel=""nofollow"">OS X</a>","hdBerretz",0,FALSE,FALSE,NA,NA
"4","#Islam is Your #Birthright

http://t.co/ewSNGbHqGE   <ed><U+00A0><U+00BD><ed><U+00B4><U+0088>

<U+0627><U+0644><U+0625><U+0633><U+0644><U+0627><U+0645> <U+0647><U+0648> <U+0641><U+0637><U+0631><U+062A><U+0643>
#Muslims #Muslim #uk #USA #rt http://t.co/wdX3WJfyRj",FALSE,0,NA,2015-10-15 19:34:44,FALSE,NA,"654742220315070464",NA,"<a href=""http://www.f2fh.000space.com/twitter/"" rel=""nofollow""><U+062A><U+0648><U+064A><U+062A><U+0631>1</a>","IslamicDawah_",0,FALSE,FALSE,NA,NA
"5","RT @Route2ProSoccer: Coaches all over America recruiting now. New challenge in your life. Full time football and education. Apply now http:…",FALSE,0,NA,2015-10-15 19:34:44,FALSE,NA,"654742218549301248",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","AlanKeely",4,TRUE,FALSE,NA,NA
"6","RT @Netsbridge: @DRUDGE_REPORT Always interesting to me how #USA's greatest ally in #MiddleEast, rich #SaudiArabia, gets away w/ atrocities…",FALSE,0,NA,2015-10-15 19:34:39,FALSE,NA,"654742201138724864",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ReversingASD",1,TRUE,FALSE,NA,NA
"7","A night to remember! Thank you @LPL_Airport! #ONIL #USA #Washington http://t.co/47TqDJpJwX",FALSE,0,NA,2015-10-15 19:34:37,FALSE,NA,"654742191101743104",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Agent_Marketing",0,FALSE,FALSE,NA,NA
"8","RT Design and elegance in our products #UckerDesigns #black #style #women #beautiful #USA … http://t.co/9tawi8ggQ8 http://t.co/SLyWXo8xbf",FALSE,0,NA,2015-10-15 19:34:36,FALSE,NA,"654742186659942400",NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","RE_followers",0,FALSE,FALSE,NA,NA
"9","For Sale: 4 Plush Boydes Bears - Ginger Peekers, Merry Kisses, Angel Cat and… http://t.co/wEz07XM1ZN #usa #teddybears #teddies #bears",FALSE,0,NA,2015-10-15 19:34:33,FALSE,NA,"654742172218978304",NA,"<a href=""http://dlvr.it"" rel=""nofollow"">dlvr.it</a>","USATeddyBears",0,FALSE,FALSE,NA,NA
"10","#NowPlaying on #HOT1057  Pass Me By - R5 Listen Live  at  http://t.co/Gxsn87Bbis
#Canada #USA #Top40",FALSE,0,NA,2015-10-15 19:34:27,FALSE,NA,"654742149540413440",NA,"<a href=""http://hot105worldwide@gmail.com"" rel=""nofollow"">HOT105.7 #NowPlaying</a>","hot105worldwide",0,FALSE,FALSE,NA,NA
"11","RT http://t.co/SA38U7q89P #Nursery #Quote #Pooh #Canada #USA #Europe #Australia #England #Sydney … http://t.co/QOkQOxqm0G",FALSE,0,NA,2015-10-15 19:34:26,FALSE,NA,"654742146642108417",NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","khmerbird",0,FALSE,FALSE,NA,NA
