"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","Seriously?  #burgerking taking #haveityourway to another level...in the wrong direction. #spellingfail #oops http://t.co/cPIqBYZaLT",FALSE,0,NA,2015-10-17 15:05:41,FALSE,NA,"655399289317928960",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","eigh_trane",0,FALSE,FALSE,NA,NA
"2","RT @DanBidondi: Get your GMO fortified #CHICKENFRIES at #burgerking http://t.co/PeWIZ0B9d0",FALSE,0,NA,2015-10-17 14:46:49,FALSE,NA,"655394541005086720",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","_Bias",3,TRUE,FALSE,NA,NA
"3","#idiocracy is coming true as #billmaher points out #sex in #advertising. Shame on you #burgerking,… https://t.co/fd9mZIgtcH",FALSE,0,NA,2015-10-17 14:43:57,FALSE,NA,"655393816854274048",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","vostudiotech",0,FALSE,FALSE,NA,NA
"4","Reunian,, !!!
#cahyopriono #burgerking #kemuning #sanggrahan #depok #iphone6… (at Burger King - Citywalk) [pic] — https://t.co/1ty3fKue35",FALSE,0,NA,2015-10-17 14:32:58,FALSE,NA,"655391053126635521",NA,"<a href=""https://path.com/"" rel=""nofollow"">Path</a>","AdiLiciOus_Adi",0,FALSE,FALSE,"106.81782","-6.20885"
"5","#BurgerKing Syria army, allies advance near Aleppo with Russian cover - The Nation: The NationSyria army, allies advance ne...  #Pakistan",FALSE,0,NA,2015-10-17 14:32:12,FALSE,NA,"655390861665038336",NA,"<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>","BurgerKingPk",0,FALSE,FALSE,NA,NA
"6","#BurgerKing Forced evacuations advised as Typhoon Koppu heads toward Philippines - CTV News: CTV NewsForced evacuations adv...  #Pakistan",FALSE,0,NA,2015-10-17 14:32:12,FALSE,NA,"655390860536754176",NA,"<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>","BurgerKingPk",0,FALSE,FALSE,NA,NA
"7","#BurgerKing Migrant crisis: Slovenia braces as Hungary shuts border - BBC News: BBC NewsMigrant crisis: Slovenia braces as ...  #Pakistan",FALSE,0,NA,2015-10-17 14:32:12,FALSE,NA,"655390859353919488",NA,"<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>","BurgerKingPk",0,FALSE,FALSE,NA,NA
"8","Reunian,, !!!
#cahyopriono #burgerking #kemuning #sanggrahan #depok #iphone6 #reunion #duniaharustahu… https://t.co/ClO5hriUp3",FALSE,0,NA,2015-10-17 14:28:18,FALSE,NA,"655389878650171392",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","AdiLiciOus_Adi",0,FALSE,FALSE,"106.81472","-6.209255"
"9","Nach KassaMenschen bei #BurgerKing immer meine Bankomatskarte selbst ans Terminal halten wollen<ed><U+00A0><U+00BD><ed><U+00B8><U+00A1><ed><U+00A0><U+00BD><ed><U+00B8><U+00A1><ed><U+00A0><U+00BD><ed><U+00B8><U+00A1> #NFC",FALSE,0,NA,2015-10-17 14:24:44,FALSE,NA,"655388982910570496",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","D_O_S_Ti",0,FALSE,FALSE,NA,NA
"10","<U+0416><U+043E><U+0440><U+0442><U+0430><U+0439><U+043C> #food #foodporn #burgerking #chill #frozen #chillbox http://t.co/bhLi5QHQI0",FALSE,0,NA,2015-10-17 14:20:13,FALSE,NA,"655387846723944449",NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","FrozenMOVlE",0,FALSE,FALSE,NA,NA
"11","I went to a Burger King right now and a see a manager on her phone doing nothing #burgerking #sucks",FALSE,0,NA,2015-10-17 14:19:21,FALSE,NA,"655387627487678464",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","jennalovesu1234",0,FALSE,FALSE,NA,NA
"12","Fighting against hangover. Kampf gegen einen größeren Kater #party #burgerking #delicious #trapmeal… https://t.co/8CzTZf8u26",FALSE,0,NA,2015-10-17 14:16:13,FALSE,NA,"655386836848644097",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","J_Barrio",0,FALSE,FALSE,NA,NA
"13","<U+0428><U+0438><U+043D><U+044D> <U+0442><U+043E><U+043C><U+043E><U+043E><U+0445><U+043E><U+043D> <U+0441><U+04AF><U+043B><U+0436><U+044D><U+044D> <U+0441><U+0430><U+043B><U+0431><U+0430><U+0440> <U+043C><U+043E><U+043D><U+0433><U+043E><U+043B><U+0434> <U+043E><U+0440><U+0436> <U+0438><U+0440><U+0445><U+044D><U+0434> <U+0434><U+043E><U+0440><U+043E><U+043E> <U+0442><U+04AF><U+0433><U+044D><U+0445> <U+044E><U+043C><U+0434><U+04E9><U+04E9> <U+043C><U+0430><U+043D><U+0430><U+0439><U+0445><U+0430><U+043D> <U+043C><U+0430><U+0440><U+043A><U+0435><U+0442><U+0438><U+043D><U+0433> <U+0438><U+0445> <U+0441><U+0430><U+0439><U+043D> <U+0433><U+044D><U+0436> #burgerking #everywhere",FALSE,0,NA,2015-10-17 14:10:17,FALSE,NA,"655385344146149376",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","b0ld00",0,FALSE,FALSE,NA,NA
"14","Awesome #Halloweenwhopper #burgerking http://t.co/JzPiqt97Di",FALSE,0,NA,2015-10-17 14:03:32,FALSE,NA,"655383646686289920",NA,"<a href=""http://www.twitter.com"" rel=""nofollow"">Twitter for Windows Phone</a>","xlugiaxdb_habbo",0,FALSE,FALSE,NA,NA
"15","Tu que sabes tanto de #BurgerKing, cuéntanos ¿cuál es el intruso en estos ingredientes? http://t.co/7SanokKWyS",FALSE,2,NA,2015-10-17 13:57:19,FALSE,NA,"655382083553120256",NA,"<a href=""http://www.topicflower.com"" rel=""nofollow"">topicflower16</a>","BurgerKingNic",0,FALSE,FALSE,NA,NA
"16","RT @OyOhO: <U+0420><U+0435><U+043A><U+043B><U+0430><U+043C> <U+0431><U+0430> <U+0431><U+043E><U+0434><U+0438><U+0442> <U+0431><U+0430><U+0439><U+0434><U+0430><U+043B> #BurgerKing http://t.co/iR5TmdTLPS",FALSE,0,NA,2015-10-17 13:50:51,FALSE,NA,"655380456746029056",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","SChinzorig",28,TRUE,FALSE,NA,NA
