"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","Bacon-Jalapeño Stovetop Mac and… http://t.co/bZkStEtGuz #TheFoodLab #amazon #featured #quickpastagrain #american http://t.co/tXRrRrRpa7",FALSE,0,NA,2015-10-16 11:30:25,FALSE,NA,"654982725082845184",NA,"<a href=""http://dlvr.it"" rel=""nofollow"">dlvr.it</a>","rkeyserling",0,FALSE,FALSE,NA,NA
"2","Try http://t.co/UOjLQafePO : American cheese, bacon, lettuce and tomato, onions, mushrooms, sweet or hot #American #menu",FALSE,0,NA,2015-10-16 07:26:07,FALSE,NA,"654921244521857024",NA,"<a href=""http://dinehere.us"" rel=""nofollow"">dine here</a>","dine_here",0,FALSE,FALSE,"-74.22594666","40.78318807"
"3","RT @janetfletcherNV: Hot-button issues facing #American cheesemakers? Read a few in this week's Planet Cheese - http://t.co/UefEYvUAMW",FALSE,0,NA,2015-10-15 22:25:09,FALSE,NA,"654785108969328640",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","AntonellisCHZ",3,TRUE,FALSE,NA,NA
"4","Ce soir c'est mac and cheese pour se réchauffer ^^
#american #americanfood #macandcheese #cheddar… https://t.co/JMAm7mEJ5u",FALSE,0,NA,2015-10-15 18:27:07,FALSE,NA,"654725203650412544",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","CupcakesCapiton",0,FALSE,FALSE,NA,NA
"5","RT @dogsndough: Chili cheese fries with Cajun fried chicken and jalapeños! How's your lunch looking? #foodporn #American #restaurant http:/…",FALSE,0,NA,2015-10-15 12:08:24,FALSE,NA,"654629898292699137",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","beckygrahamox",4,TRUE,FALSE,NA,NA
"6","RT @dogsndough: Chili cheese fries with Cajun fried chicken and jalapeños! How's your lunch looking? #foodporn #American #restaurant http:/…",FALSE,0,NA,2015-10-15 11:12:04,FALSE,NA,"654615720387604480",NA,"<a href=""https://roundteam.co"" rel=""nofollow"">RoundTeam</a>","FoodPornNews",4,TRUE,FALSE,NA,NA
"7","RT @dogsndough: Chili cheese fries with Cajun fried chicken and jalapeños! How's your lunch looking? #foodporn #American #restaurant http:/…",FALSE,0,NA,2015-10-15 11:03:56,FALSE,NA,"654613675307847680",NA,"<a href=""https://roundteam.co"" rel=""nofollow"">RoundTeam</a>","EssexFoodPorn",4,TRUE,FALSE,NA,NA
"8","RT @dogsndough: Chili cheese fries with Cajun fried chicken and jalapeños! How's your lunch looking? #foodporn #American #restaurant http:/…",FALSE,0,NA,2015-10-15 10:57:34,FALSE,NA,"654612072433590272",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","jessicawatson_x",4,TRUE,FALSE,NA,NA
"9","Chili cheese fries with Cajun fried chicken and jalapeños! How's your lunch looking? #foodporn #American #restaurant http://t.co/51FuVNRBHl",FALSE,3,NA,2015-10-15 10:54:58,FALSE,NA,"654611417421713408",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","dogsndough",4,FALSE,FALSE,NA,NA
"10","RT @janetfletcherNV: Hot-button issues facing #American cheesemakers? Read a few in this week's Planet Cheese - http://t.co/UefEYvUAMW",FALSE,0,NA,2015-10-14 17:55:44,FALSE,NA,"654354918489239552",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","SheriHulagirl",3,TRUE,FALSE,NA,NA
