"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","United Airlines Is Bringing Back the Free Snacks - ABC News - https://t.co/qvOlnVsZt9 via @ABC",FALSE,0,NA,2015-12-09 22:15:10,FALSE,NA,"674713925347250179",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","dominickambro",0,FALSE,FALSE,"-75.0536646","40.0297972"
"2","San Bernardino Attack Leads to Questions on Another Marriage - ABC News - https://t.co/w3Xfh53YAn via @ABC",FALSE,0,NA,2015-12-09 22:12:59,FALSE,NA,"674713379303387136",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","dominickambro",0,FALSE,FALSE,"-75.0536496","40.029829"
"3","RT @HannahDAbrams: Three Poems Now Up at Toad the Journal  https://t.co/ZcEnDfYiCB",FALSE,0,NA,2015-12-09 22:05:23,FALSE,NA,"674711463232217088",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Writing_Life",4,TRUE,FALSE,NA,NA
"4","Lawsuit Over ‘Happy Birthday’ Lyrics Settled https://t.co/XpbRlGsh8D via @Variety",FALSE,0,NA,2015-12-09 21:59:50,FALSE,NA,"674710070211448832",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","dominickambro",0,FALSE,FALSE,"-75.0536437","40.029832"
"5","TV News Roundup: Andy Cohen to Host New Year’s Special on NBC https://t.co/apsbqIL5EB via @Variety",FALSE,0,NA,2015-12-09 21:55:18,FALSE,NA,"674708925875294208",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","dominickambro",0,FALSE,FALSE,"-75.0536485","40.0298319"
"6","This Canadian Airline Wants You to Help It Complete 12,000 Miracles in 24 Hours https://t.co/nsCmSFkSnH #marketing",FALSE,0,NA,2015-12-09 21:51:03,FALSE,NA,"674707859377025024",NA,"<a href=""http://dlvr.it"" rel=""nofollow"">dlvr.it</a>","allaboutmkt",0,FALSE,FALSE,"-74.02753906","40.71597584"
"7","FTC Says Retailers Are 'Bamboozling' Shoppers With Fake Bamboo Fabrics https://t.co/ZEBShnNr31 #marketing",FALSE,0,NA,2015-12-09 21:51:03,FALSE,NA,"674707857015619584",NA,"<a href=""http://dlvr.it"" rel=""nofollow"">dlvr.it</a>","allaboutmkt",0,FALSE,FALSE,"-74.02753906","40.71597584"
"8","Vladimir Putin hopes he never has to drop a nuclear bomb on ISIS in Syria. https://t.co/miPQQ64Ysl",FALSE,0,NA,2015-12-09 21:49:07,FALSE,NA,"674707369817845760",NA,"<a href=""http://dlvr.it"" rel=""nofollow"">dlvr.it</a>","NewYorkCP",0,FALSE,FALSE,"-74.00001602","40.71669795"
"9","Accused Planned Parenthood shooter yells ""I am guilty, there will be no trial"" in court. https://t.co/SNBGq41EQQ",FALSE,0,NA,2015-12-09 21:49:06,FALSE,NA,"674707366445629440",NA,"<a href=""http://dlvr.it"" rel=""nofollow"">dlvr.it</a>","NewYorkCP",0,FALSE,FALSE,"-74.00001602","40.71669795"
"10","Hoverboard spontaneously combusts while charging in Westchester home, firefighters say https://t.co/fJ951s1XyE",FALSE,0,NA,2015-12-09 21:32:05,FALSE,NA,"674703086363869184",NA,"<a href=""http://dlvr.it"" rel=""nofollow"">dlvr.it</a>","NewYorkCP",0,FALSE,FALSE,"-74.00001602","40.71669795"
