"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","Amo a Obama.",FALSE,0,NA,2015-12-12 14:55:54,FALSE,NA,"675690547311419392",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","acidsrose",0,FALSE,FALSE,NA,NA
"2","@NicolasMaduro ELECCIÓN DE DIPUTADOS EN VENEZUELA  MANIPULACIÓN PSICOLÓGICA INDUCIDA CON MÉTODOS  DE LA CIA, OBAMA, Y /PRODUCIR ""ARRECHERA""",FALSE,0,"NicolasMaduro",2015-12-12 14:55:54,FALSE,NA,"675690546749440000","1252764865","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","cerrolastetas",0,FALSE,FALSE,NA,NA
"3","I swear that Obama just drove through my neighborhood! I heard so many sirens for so long that I got out the bed. Over 50+ cop cars.",FALSE,0,NA,2015-12-12 14:55:54,FALSE,NA,"675690544895533056",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","MissTayBlaze",0,FALSE,FALSE,NA,NA
"4","RT @W0RLDSTARHlPHOP: Michelle Obama got bars https://t.co/uglFBQDOVX",FALSE,0,NA,2015-12-12 14:55:54,FALSE,NA,"675690544236879873",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","_amaia_j",106,TRUE,FALSE,NA,NA
"5","RT @MountaineerFan4: I know @megynkelly and @oreillyfactor say Obama isn't a Muslim, but he is very partial to them. https://t.co/VZoA0hbasL",FALSE,0,NA,2015-12-12 14:55:54,FALSE,NA,"675690544136388608",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","frgrab_frank",2,TRUE,FALSE,NA,NA
"6","White House: United States ‘Safer’ Under President Obama - Breitbart https://t.co/yKI54H95Co",FALSE,0,NA,2015-12-12 14:55:53,FALSE,NA,"675690542357946368",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","davidjones720",0,FALSE,FALSE,NA,NA
"7","RT @ClassicJams: J Cole's thoughts on Obama https://t.co/TlQmuzwohF",FALSE,0,NA,2015-12-12 14:55:52,FALSE,NA,"675690537228349441",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","alexmlynch",382,TRUE,FALSE,NA,NA
"8","RT @DrunkVinodMehta: Modi wanted to take Obama to Varanasi. He refused. Now Modi took Shinzo Abe. This shows Modi is interested not the gue…",FALSE,0,NA,2015-12-12 14:55:51,FALSE,NA,"675690534225096704",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Baisaaa",61,TRUE,FALSE,NA,NA
"9","RT @GovtsTheProblem: The Obama Administration thinks you're stupid enough to believe they lost both IRS employees and State Department empl…",FALSE,0,NA,2015-12-12 14:55:51,FALSE,NA,"675690533289881600",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","Easy8Jokich",4,TRUE,FALSE,NA,NA
"10","RT @TVineberg: OBAMA BEAT HER IN 2008 AND SANDERS WILL BEAT HER IN 2016.  https://t.co/DKVdQgNruk",FALSE,0,NA,2015-12-12 14:55:51,FALSE,NA,"675690532249710593",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","jetpowered1",1,TRUE,FALSE,NA,NA
