text,
 SO ADDICTING  DEFF DOWNLAOD ITS EPIC YOU CAT LOVERS WILL FALL IN LOVE <3,
 Great game I love this game. Unlike other games they constantly give you money to play. They are always given you a bone. Keep up the good work.,
" Sooo much FUN I would definitely recommend this game, it's fun for dress up and business. It's extremely entertaining, I'm hooked already. :)",
 AWESOME Epic game so addictive 5stars <f0><U+009F><U+0098><U+0084>,
 Good game Great game,
" Meh Used to be good until World Cup upgrade.
Now it lags all the time, making it difficult to play.
Maybe if you spent more time getting the game to actually work and less time trying to squeeze advertising into every nook of game play, we could have a winner.",
 Not bad <U+6E38><U+620F><U+4E0D><U+9519><U+5C31><U+662F><U+7ECF><U+5E38><U+81EA><U+52A8><U+9000><U+51FA><U+6BD4><U+8F83><U+70E6><U+4EBA>,
 Clash  of clans Clash Is a awesome game,
 Cool Great game A+A+A,
 Candy crush review Addictive,
 Great game Great game,
 Fun but I have a disagreement Whenever you try to play and it loads it doesn't work that is the only thing I do not like about subway surfers 3,
 Epic game!!!!! Download this game! Don't hesitate!,
 Platinum If u do Facebook to get platinum why do u only get one for all the stuff they post?,
" Obsessed Love this game, it's really cool except energy takes too long and 8hr missions frustrate me <f0><U+009F><U+0098><U+00A9> but other then that it's a real great game to get hang of <f0><U+009F><U+0091><U+008D><f0><U+009F><U+0091><U+008C> thank you",
 Just fun Easy to get in to and fun!,
 Hay day It's a really good game. It is very entertaining when you are really bored and have nothing to do,
 Cool Good game,
 WHOO HOO!! Well I knew this update was coming but not when but since it's here WHOO Hoo!!! keep it comin plz!!,
 Amazing !! This app is the best app you can possibly find but the only thing I would want to change is kim when we go to buy stuff that cost k-stars can you make them way cheaper because no one can afford them but please download this game and enjoy the amazing life of Kim Kardashian xxxx,
" Good game spoilt I started playing this game and thought it was quite good until I had to progress by contacting 3 facebook friends, also waiting for energy and being on the same mission for at least two days, final result boring would be much better without facebook and waiting ,it says I have to rate this to send I'm giving you one star only because I have to",
 Not worth your time! A Joke!  This casino just keeps getting worse. You can buy millions and be lucky if it last a day. You don't get much in free coins. They took the Extra Button off so at times you can't get the free coins offered. Worthless Casino!  Most comments on their Facebook page are from upset people. DO NOT WASTE YOUR MONEY !,
 Hooked Hooked,
" Glad it's not real money ! Was good but all I get is poor connection and the reels just keep spinning then to top it all my ""big wins "" are lost ! Update needed ASAP",
 Awesome! A lot of fun!!,
 Double Cross Just chews threw chips...ridiculous odds.,
 Nice Fun game mantej,
 I love this game!!!! I just love this game. But I wish I didn't have to use data to buy and sell things!,
 Amazing game but stop working I have an iPod and the software is all up to date but all of a sudden I can't open up the game it just shuts down after a minute. Really loved this game hope it starts to work again soon please fix it!,
 Not as good as it use to be When I first downloaded the game it was good you could cheat and get extra gems through the casino but now as they have change it and it takes forever to get awarded new gems and takes even longer to finish a restaurant.,
 Error in patching Every time I try to log it it says error in patching but overall good game.,
 Great It is a great app the paid one is much better though but for free it is really fun!,
 Yay Yay,`
" GET THIS QUICK!!! Subway Surfers is the best game on the App Store! It's the only game I will play for hours- literally! You'll never get bored of the game because there are missions and awards and you can collect tokens to get characters and boards witch have special powers and... and... THE FUN NEVER STOPS!!! Every so often you can update the app and you will go to different countries but you won't lose anything you earned. What could be wrong with this app? Nothing! Nothing at all! 
<f0><U+009F><U+009A><U+00A8>YOU WILL GET ADDICTED<f0><U+009F><U+009A><U+00A8>",
 Awesome Mysterious Game!! Fun game to play @ night before bed to wind down!!,
 Very fun Nice graphic tons of fun,
" Need cash to compete. If you not prepared to spend thousands, don't bother.  Your outcome depends on how much you spend, which determines how strong you get. 

You can try the alternative and play without spending. It'll take you over a year to build the same power level and spender can make in 10 minutes. 

Members in my alliance and other alliances spend at least $200 daily per person. Generally the bigger ones will spend over $1000 every few days. 

It takes around $1000 to get to power level of 10 million. 
And 10 mill power is small fry.  Most are over 200 mill depending on how old the kingdom is. Generally a 2 month old kingdom has players over 220 mill power and average player is over 15 mill. 

So if you have money, this is an awesome game. Graphics are cool. Loads to do.",
 Wortha down load Decent game,
" Kim Kardashian I love the game, my favourite game but 1 energy every 5 minutes is too long it should be more like 1 energy every 1 minute. Apart from that it's great definitely recommend this.",
" Hay day suggestion I have a suggestion for the trees once they die, if we could possibly use the wood for handles, and melt iron down in the metals, and maybe we could get a ""wood shop"" and we could build our own axes/saws etc.....or a ""wood chipper"" something to assist us in breaking down all of the trees and shrubs.  Just food for thought for some new buildings, and a new way to produce something we can use.  Thanks for everything you do!  Great game!",
 Great One of the best mobile shooters I've played on iOS!!!!!! Soo gd,
 Subway surfs By Phil Coleman. It a great for everyone very good game to play,
 Help plz:( Y cant people just give me stuff there being a little greaty so if u could get me stuff it would help alot thz:),
" Love it This is by far my favorite game on the App Store. Great graphics, and really fun to play, especially with friends.",
 Yg :-)',
" Cooking fever Sooo addictive, uses good strategy & need lots of skill",
 Good For spending time while waiting for an appointment,
 Fun Fun,
 Add more levels in goblin map and other ideas Need more levels on goblin map for more loot and you could do a rager (healer but give powers of rage to troops),
 Comfy Good,
 Best IOS fighting game Love the fighting style of the game!!!,
 Upgrade me pls I just tried to download the upgrade of this it won't do it,
 Great game I give it  a five stars r8 it's amazing trust me  like some1 said before you'll get addicted :) :p,
" I am addicted It is a really fun game and at times frustrating, I really enjoy it and find it quite, well, an really good game! <f0><U+009F><U+0098><U+008E><f0><U+009F><U+0098><U+0083>",
 Good game Good game,
 Fun! It's fun! :D,
 Addictive fun Perfect fun,
 Wonderful Is a great game and addictive. Brilliant,
 Slots Romance Great game! I play it every day!,
 Gems!! Only gave you 1 star as you can't continue with any upgrades unless you have a really stupid amount of gems!! Fix the gem problem and this game would be great but at the moment it's just frustrating!!!,
" Game of Wallet This game used to be awesome but they keep changing to rules and game mechanics plus offering ""quests"" and ""events"" that actually send you backwards.

It's definitely a game for those with thousands of dollars (seriously, I mean it). I know of a few that are over $5000 in spending and am told that's nothing compared to others.

It would be very difficult for a new player to start in this game and have any hope of getting anywhere near even the middle of rankings.

You basically never know when the mechanics of the game will be moved (they can be massive changes) and need to play the game near most of your waking hours.",
 Ok Ok,
 Plumber crack Fun game,
 Addictive Love the game can't stop playing,
 Dkxnsmxlzkwmx Lol,
" SO EFFING ADDICTIVE This game is the definition of Awesome sauce! It's unbelievably addictive! Sadly we got a new and terrible Internet router and I can't update the game so I can't play at the moment, but apart from that this game is the opposite of <f0><U+009F><U+0092><U+00A9>
Good job<f0><U+009F><U+0091><U+008D>",
