"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","I'm at Starbucks in New York, NY https://t.co/9y6tFMZRxi",FALSE,0,NA,2015-12-10 02:20:06,FALSE,NA,"674775565455503360",NA,"<a href=""http://foursquare.com"" rel=""nofollow"">Foursquare</a>","EnterfromEast",0,FALSE,FALSE,"-73.98217937","40.74905383"
"2","Blogpost finished! (@ Starbucks in Sunnyside, NY) https://t.co/xzAm65JxIJ",FALSE,0,NA,2015-12-10 02:07:19,FALSE,NA,"674772348675977216",NA,"<a href=""http://foursquare.com"" rel=""nofollow"">Foursquare</a>","AHylen",0,FALSE,FALSE,"-73.91848128","40.74334405"
"3","2/2 @starbucks @ Ridge Hill https://t.co/eRtgondMHs",FALSE,0,NA,2015-12-10 01:51:02,FALSE,NA,"674768252548030465",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","_FelixM_Mojica",0,FALSE,FALSE,"-73.85658509","40.96474454"
"4","@Starbucks

#Starbucks #WaterWithLime #FreeWater #ILoveWater #Water #Starbuxx #Stbcks #stbxx… https://t.co/aoFZI1t0j9",FALSE,0,"Starbucks",2015-12-10 01:33:21,FALSE,NA,"674763799862386689","30973","<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","_FelixM_Mojica",0,FALSE,FALSE,"-73.85658509","40.96474454"
"5","Hitting the 12 hr mark of the work day requires a @starbucks run; including #Enzo!… https://t.co/TK4ZPT7NBc",FALSE,0,NA,2015-12-10 01:05:19,FALSE,NA,"674756748813582337",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","Msanchez81",0,FALSE,FALSE,"-73.2541504","41.3046684"
"6","new Polo glasses to match my ""War on Christmas"" Starbucks cups. @ Manhattanville Bus Depot https://t.co/mK4SfILnS9",FALSE,0,NA,2015-12-10 01:00:05,FALSE,NA,"674755431382798336",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","RockDiggie",0,FALSE,FALSE,"-73.9574725","40.81932007"
"7","I'm at Starbucks in New York, NY https://t.co/kxSocS5RMi",FALSE,0,NA,2015-12-10 00:57:47,FALSE,NA,"674754851251855360",NA,"<a href=""http://foursquare.com"" rel=""nofollow"">Foursquare</a>","josie",0,FALSE,FALSE,"-73.986415","40.755043"
"8","Wishing we had a Starbucks in Hazleton #Can’tWaitToMove",FALSE,2,NA,2015-12-10 00:51:35,FALSE,NA,"674753292744851457",NA,"<a href=""http://www.apple.com/"" rel=""nofollow"">OS X</a>","imattstraub",0,FALSE,FALSE,"-75.990853","40.968293"
"9","I'm at Starbucks in Evesham, NJ https://t.co/oqNWkhpdCj",FALSE,0,NA,2015-12-10 00:49:04,FALSE,NA,"674752659568656384",NA,"<a href=""http://foursquare.com"" rel=""nofollow"">Foursquare</a>","TrekMichaels",0,FALSE,FALSE,"-74.925018","39.891186"
"10","I'm at Starbucks in New York, NY https://t.co/K22sqE6Zpw",FALSE,0,NA,2015-12-10 00:48:08,FALSE,NA,"674752421604798464",NA,"<a href=""http://foursquare.com"" rel=""nofollow"">Foursquare</a>","rebeccaplaine",0,FALSE,FALSE,"-73.98477345","40.76911227"
