"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","Steps towards makin the good I call home a better place #registered #vote… https://t.co/Rw2rUhsr2m",FALSE,0,NA,2015-11-04 21:58:09,FALSE,NA,"662026069126610944",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","RETRO_KID1988",0,FALSE,FALSE,"-75.18472222","40.06611111"
"2","PLEASE TEXT ME AT #2672887617 
TO SCHEDULE 
#TODAY #NOVEMBER #2015
#VOTE 
#PHILLY #19153… https://t.co/Omd6dDzphL",FALSE,0,NA,2015-11-04 07:25:05,FALSE,NA,"661806354185723904",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","Thenailandsexxy",0,FALSE,FALSE,"-75.22159655","39.92091705"
"3","PLEASE TEXT ME AT #2672887617 
TO SCHEDULE 
#TODAY #NOVEMBER #2015
#VOTE 
#PHILLY #19153… https://t.co/kMY3gI9xYo",FALSE,0,NA,2015-11-04 07:23:32,FALSE,NA,"661805963628924928",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","Thenailandsexxy",0,FALSE,FALSE,"-75.22159655","39.92091705"
"4","PLEASE TEXT ME AT #2672887617 
TO SCHEDULE 
#TODAY #NOVEMBER #2015
#VOTE 
#PHILLY #19153… https://t.co/K8l8i5bcw2",FALSE,0,NA,2015-11-04 07:22:12,FALSE,NA,"661805628076269568",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","Thenailandsexxy",0,FALSE,FALSE,"-75.22159655","39.92091705"
"5","RT @SoniaPetruse: Skunky says #VOTE <U+2764><ed><U+00A0><U+00BD><ed><U+00B0><U+00BE><U+2705> @nsdemocracy #votenov3rd #philly #BrailleStreetArt @ First Presbyterian Church… https://t.co/BaV9n7…",FALSE,0,NA,2015-11-04 04:31:02,FALSE,NA,"661762555933782016",NA,"<a href=""http://sites.google.com/site/yorufukurou/"" rel=""nofollow"">YoruFukurou</a>","AustinSeraphin",2,TRUE,FALSE,NA,NA
"6","#vote (@ Hagerman FD in Patchogue, NY) https://t.co/73zArGKdcV",FALSE,0,NA,2015-11-04 01:06:52,FALSE,NA,"661711172052369408",NA,"<a href=""http://foursquare.com"" rel=""nofollow"">Foursquare</a>","genek119",0,FALSE,FALSE,"-72.96074814","40.76955094"
"7","regrann from @shoutmeow1  -  PLEASE TEXT ME AT #2672887617 
TO SCHEDULE 
#TODAY #NOVEMBER #2015
#VOTE… https://t.co/ejjCLepPD2",FALSE,0,NA,2015-11-04 00:59:46,FALSE,NA,"661709388110020608",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","Thenailandsexxy",0,FALSE,FALSE,"-75.22159655","39.92091705"
"8","regrann from @shoutmeow1  -  PLEASE TEXT ME AT #2672887617 
TO SCHEDULE 
#TODAY #NOVEMBER #2015
#VOTE… https://t.co/IZLFZgnu8E",FALSE,0,NA,2015-11-04 00:59:14,FALSE,NA,"661709252860448768",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","Thenailandsexxy",0,FALSE,FALSE,"-75.22159655","39.92091705"
"9","regrann from @shoutmeow1  -  PLEASE TEXT ME AT #2672887617 
TO SCHEDULE 
#TODAY #NOVEMBER #2015
#VOTE… https://t.co/2CFNCs2KnL",FALSE,0,NA,2015-11-04 00:58:27,FALSE,NA,"661709057762422784",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","Thenailandsexxy",0,FALSE,FALSE,"-75.22159655","39.92091705"
"10","The most important #gramoftheday #lohudvotes #vote #electionday #democracy #rockthevote #chooseorlose… https://t.co/7s1wSC533s",FALSE,0,NA,2015-11-04 00:58:16,FALSE,NA,"661709008722657280",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","cgritmon",0,FALSE,FALSE,"-74.00919908","41.06136315"
"11","The often overlooked local elections!! Most important one. #vote (@ voting at flemington public library) https://t.co/o1VEIi2Thc",FALSE,0,NA,2015-11-04 00:38:24,FALSE,NA,"661704011524005888",NA,"<a href=""http://foursquare.com"" rel=""nofollow"">Foursquare</a>","JumboKev",0,FALSE,FALSE,"-74.85870572","40.50911409"
"12","regrann from @shoutmeow1  -  PLEASE TEXT ME AT #2672887617 
TO SCHEDULE 
#TODAY #NOVEMBER #2015
#VOTE… https://t.co/V0TCBuGhij",FALSE,0,NA,2015-11-04 00:26:44,FALSE,NA,"661701071983742976",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","Thenailandsexxy",0,FALSE,FALSE,"-75.22159655","39.92091705"
"13","regrann from @shoutmeow1  -  PLEASE TEXT ME AT #2672887617 
TO SCHEDULE 
#TODAY #NOVEMBER #2015
#VOTE… https://t.co/tlroCBUaBc",FALSE,0,NA,2015-11-04 00:25:50,FALSE,NA,"661700849526263808",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","Thenailandsexxy",0,FALSE,FALSE,"-75.22159655","39.92091705"
"14","regrann from @shoutmeow1  -  PLEASE TEXT ME AT #2672887617 
TO SCHEDULE 
#TODAY #NOVEMBER #2015
#VOTE… https://t.co/Uz63L5nYum",FALSE,0,NA,2015-11-04 00:25:16,FALSE,NA,"661700702947950592",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","Thenailandsexxy",0,FALSE,FALSE,"-75.22159655","39.92091705"
"15","regrann from @shoutmeow1  -  PLEASE TEXT ME AT #2672887617 
TO SCHEDULE 
#TODAY #NOVEMBER #2015
#VOTE… https://t.co/ra5rj7ajaW",FALSE,0,NA,2015-11-04 00:24:26,FALSE,NA,"661700493530554368",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","Thenailandsexxy",0,FALSE,FALSE,"-75.22159655","39.92091705"
